"date","ms"
"11/21/1398, 14:22:21",280
"11/21/1398, 14:22:21",288
"11/21/1398, 14:22:21",271
"11/21/1398, 14:22:21",277
"11/21/1398, 14:22:21",352
"11/21/1398, 14:22:21",580
"11/21/1398, 14:22:21",401
"11/21/1398, 14:22:21",322
"11/21/1398, 14:22:21",345
"11/21/1398, 14:22:22",317
"11/21/1398, 14:22:22",327
"11/21/1398, 14:22:22",351
"11/21/1398, 14:22:22",700
"11/21/1398, 14:22:22",296
"11/21/1398, 14:22:22",323
"11/21/1398, 14:22:22",345
"11/21/1398, 14:22:22",370
"11/21/1398, 14:22:22",298
"11/21/1398, 14:22:22",313
"11/21/1398, 14:22:22",337
"11/21/1398, 14:22:22",280
"11/21/1398, 14:22:22",288
"11/21/1398, 14:22:22",271
"11/21/1398, 14:22:22",277
"11/21/1398, 14:22:22",352
"11/21/1398, 14:22:22",580
"11/21/1398, 14:22:22",401
"11/21/1398, 14:22:22",322
"11/21/1398, 14:22:22",345
"11/21/1398, 14:22:23",317
"11/21/1398, 14:22:23",327
"11/21/1398, 14:22:23",351
"11/21/1398, 14:22:23",700
"11/21/1398, 14:22:23",296
"11/21/1398, 14:22:23",323
"11/21/1398, 14:22:23",345
"11/21/1398, 14:22:23",370
"11/21/1398, 14:22:23",298
"11/21/1398, 14:22:23",313
"11/21/1398, 14:22:23",337
"11/21/1398, 14:22:23",280
"11/21/1398, 14:22:23",288
"11/21/1398, 14:22:23",271
"11/21/1398, 14:22:23",277
"11/21/1398, 14:22:23",352
"11/21/1398, 14:22:23",580
"11/21/1398, 14:22:23",401
"11/21/1398, 14:22:23",322
"11/21/1398, 14:22:23",345
"11/21/1398, 14:22:24",317
"11/21/1398, 14:22:24",327
"11/21/1398, 14:22:24",351
"11/21/1398, 14:22:24",700
"11/21/1398, 14:22:24",296
"11/21/1398, 14:22:24",323
"11/21/1398, 14:22:24",345
"11/21/1398, 14:22:24",370
"11/21/1398, 14:22:24",298
"11/21/1398, 14:22:24",313
"11/21/1398, 14:22:24",337
"11/21/1398, 14:22:24",280
"11/21/1398, 14:22:24",288
"11/21/1398, 14:22:24",271
"11/21/1398, 14:22:24",277
"11/21/1398, 14:22:24",352
"11/21/1398, 14:22:24",580
"11/21/1398, 14:22:24",401
"11/21/1398, 14:22:24",322
"11/21/1398, 14:22:24",345
"11/21/1398, 14:22:25",317
"11/21/1398, 14:22:25",327
"11/21/1398, 14:22:25",351
"11/21/1398, 14:22:25",700
"11/21/1398, 14:22:25",296
"11/21/1398, 14:22:25",323
"11/21/1398, 14:22:25",345
"11/21/1398, 14:22:25",370
"11/21/1398, 14:22:25",298
"11/21/1398, 14:22:25",313
"11/21/1398, 14:22:25",337
"11/21/1398, 14:22:25",280
"11/21/1398, 14:22:25",288
"11/21/1398, 14:22:25",271
"11/21/1398, 14:22:25",277
"11/21/1398, 14:22:25",352
"11/21/1398, 14:22:25",580
"11/21/1398, 14:22:25",401
"11/21/1398, 14:22:25",322
"11/21/1398, 14:22:25",345
"11/21/1398, 14:22:26",317
"11/21/1398, 14:22:26",327
"11/21/1398, 14:22:26",351
"11/21/1398, 14:22:26",700
"11/21/1398, 14:22:26",296
"11/21/1398, 14:22:26",323
"11/21/1398, 14:22:26",345
"11/21/1398, 14:22:26",370
"11/21/1398, 14:22:26",298
"11/21/1398, 14:22:26",313
"11/21/1398, 14:22:26",337
"11/21/1398, 14:22:26",280
"11/21/1398, 14:22:26",288
"11/21/1398, 14:22:26",271
"11/21/1398, 14:22:26",277
"11/21/1398, 14:22:26",352
"11/21/1398, 14:22:26",580
"11/21/1398, 14:22:26",401
"11/21/1398, 14:22:26",322
"11/21/1398, 14:22:26",345
"11/21/1398, 14:22:27",317
"11/21/1398, 14:22:27",327
"11/21/1398, 14:22:27",351
"11/21/1398, 14:22:27",700
"11/21/1398, 14:22:27",296
"11/21/1398, 14:22:27",323
"11/21/1398, 14:22:27",345
"11/21/1398, 14:22:27",370
"11/21/1398, 14:22:27",298
"11/21/1398, 14:22:27",313
"11/21/1398, 14:22:27",337
"11/21/1398, 14:22:27",280
"11/21/1398, 14:22:27",288
"11/21/1398, 14:22:27",271
"11/21/1398, 14:22:27",277
"11/21/1398, 14:22:27",352
"11/21/1398, 14:22:27",580
"11/21/1398, 14:22:27",401
"11/21/1398, 14:22:27",322
"11/21/1398, 14:22:27",345
